codigo_stn,ano,estado,tipo_corpo_agua,ph_medio,oxigenio_dissolvido_medio,nitrato_medio_mg_l,coliformes_totais_medio,coliformes_fecais_medio,temperatura_media_c,condutividade_media,bod_medio_mg_l
4477,2023,HIMACHAL PRADESH,DRAIN,7.6,8.3,1.6,358.8871688985272,59.3295878967653,10.0,148.5,1.0
4455,2023,HIMACHAL PRADESH,DRAIN,7.6,9.25,1.0,573.5852159879995,8.94427190999916,10.5,286.5,1.0
4482,2023,HIMACHAL PRADESH,DRAIN,7.3,8.0,0.95,34.49637662132068,2.8284271247461903,23.5,500.5,1.55
4036,2023,HIMACHAL PRADESH,DRAIN,8.15,7.6,3.25,85.73214099741124,4.898979485566356,12.5,1935.5,1.4
4430,2023,HIMACHAL PRADESH,DRAIN,7.1000000000000005,7.25,3.6,929.51600308978,77.13624310270757,16.0,455.5,6.75
4475,2023,HIMACHAL PRADESH,DRAIN,7.9,9.5,1.2999999999999998,183.3030277982336,34.49637662132068,10.5,237.5,1.0
4476,2023,HIMACHAL PRADESH,DRAIN,7.55,8.6,0.5,212.9788721915862,60.33241251599343,7.5,54.5,1.0
4034,2023,HIMACHAL PRADESH,DRAIN,7.899999999999999,9.25,1.8,712.460525222275,11.6619037896906,11.5,208.0,1.0
4035,2023,HIMACHAL PRADESH,DRAIN,7.85,9.1,1.6,761.3146524269712,13.638181696985855,11.0,210.5,1.0
4462,2023,HIMACHAL PRADESH,DRAIN,8.0,7.6,1.45,203.9607805437114,13.038404810405298,14.0,393.0,1.0
3867,2023,HIMACHAL PRADESH,DRAIN,7.550000000000001,8.05,0.95,206.54297373670207,57.445626465380286,10.5,164.0,1.0
1870,2023,HIMACHAL PRADESH,DRAIN,7.85,6.5,8.1,183.3030277982336,56.56854249492381,9.5,768.5,13.5
3875,2023,HIMACHAL PRADESH,DRAIN,8.0,8.0,6.6,113.84199576606166,8.12403840463596,8.0,538.0,4.25
4480,2023,HIMACHAL PRADESH,DRAIN,8.0,7.65,5.3500000000000005,95.39392014169457,6.928203230275509,7.0,522.5,1.8
2789,2023,MAHARASHTRA,DRAIN,7.65,4.800000000000001,1.35,367.4234614174767,54.77225575051661,31.0,1497.5,10.1
2178,2023,MAHARASHTRA,DRAIN,7.7,3.15,2.8000000000000003,90.0,26.0768096208106,24.5,914.0,10.5
2790,2023,MAHARASHTRA,DRAIN,6.6,7.45,1.0,30.04995840263344,8.12403840463596,28.5,2860.5,2.4
3923,2023,ODISHA,DRAIN,7.300000000000001,4.0,5.0,35552.77766926235,13349.157276772194,27.0,522.5,6.15
20046,2023,TAMIL NADU,STP,7.300000000000001,3.15,0.65,209.76176963403032,148.32396974191326,32.0,1460.0,11.0
3054,2023,TELANGANA,DRAIN,9.85,3.8,2.35,68.99275324264136,5.830951894845301,27.0,821.0,3.2
4665,2023,TELANGANA,DRAIN,8.15,4.449999999999999,8.7,38.8329756778952,2.0,26.5,689.0,2.5
3055,2023,TELANGANA,STP,7.55,2.75,6.1,449.8888751680797,13.564659966250536,28.0,1490.5,17.2
3050,2023,UTTAR PRADESH,WATER TREATMENT PLANT (RAW WATER),7.3,5.65,0.3,2.0,2.0,22.0,180.5,1.0
